2.0,-2.0,0.0,0.0,-2.0,0.0,8.5,1.0,-1.0,-1.0,-2.0,-1.0,7.5,-3.0,1.0,-7.5,1.0,-6.0,-3.0,0.0
-2.0,6.0,0.0,-1.0,-4.0,-7.5,7.5,-3.0,2.0,6.5,-3.0,11.5,0.0,-4.0,0.0,0.0,-1.0,2.0,-4.0,-2.0
0.0,0.0,2.0,2.0,-4.0,-7.5,1.0,0.0,2.0,-2.0,-3.0,-7.5,-2.0,-3.0,0.0,1.0,0.0,13.0,-2.0,-2.0
0.0,-1.0,2.0,4.0,3.5,-6.5,3.0,-7.5,1.0,-2.0,-4.0,0.0,-3.0,-6.0,-1.0,0.0,0.0,-7.0,-4.0,-2.0
-2.0,-4.0,-4.0,3.5,12.0,3.5,-5.0,-3.0,-3.0,-2.0,-6.0,-5.0,-5.0,-4.0,-3.0,17.0,-2.0,0.5,0.0,6.5
0.0,-7.5,-7.5,-6.5,3.5,4.0,2.0,-1.0,3.0,-2.0,-2.0,1.0,-1.0,-5.0,0.0,-1.0,-1.0,-5.0,-4.0,-2.0
8.5,7.5,1.0,3.0,-5.0,2.0,-4.5,0.0,1.0,-2.0,-3.0,0.0,-2.0,-5.0,-1.0,0.0,0.0,-7.0,-4.0,-2.0
1.0,-3.0,0.0,-7.5,-3.0,-1.0,0.0,5.0,6.5,-3.0,-4.0,-2.0,-3.0,3.5,0.0,-7.5,0.0,-7.0,3.5,-1.0
-1.0,2.0,2.0,1.0,-3.0,3.0,1.0,6.5,6.0,-2.0,-2.0,0.0,-2.0,6.5,0.0,-1.0,-1.0,5.5,0.0,-2.0
-1.0,6.5,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,5.0,-6.5,-2.0,2.0,-7.5,-2.0,-1.0,0.0,-5.0,-1.0,4.0
-2.0,-3.0,-3.0,-4.0,-6.0,-2.0,-3.0,-4.0,-2.0,-6.5,14.5,-3.0,4.0,-6.5,-3.0,-3.0,-2.0,-2.0,-1.0,2.0
-1.0,11.5,-7.5,0.0,-5.0,1.0,0.0,-2.0,0.0,-2.0,-3.0,5.0,0.0,-5.0,-1.0,0.0,0.0,-3.0,-4.0,-2.0
7.5,0.0,-2.0,-3.0,-5.0,-1.0,-2.0,-3.0,-2.0,2.0,4.0,0.0,6.0,0.0,-2.0,-2.0,-1.0,-4.0,-2.0,2.0
-3.0,-4.0,-3.0,-6.0,-4.0,-5.0,-5.0,3.5,6.5,-7.5,-6.5,-5.0,0.0,9.0,-5.0,-3.0,-3.0,0.0,-1.5,-1.0
1.0,0.0,0.0,-1.0,-3.0,0.0,-1.0,0.0,0.0,-2.0,-3.0,-1.0,-2.0,-5.0,14.5,-7.5,0.0,-6.0,-5.0,-1.0
-7.5,0.0,1.0,0.0,17.0,-1.0,0.0,-7.5,-1.0,-1.0,-3.0,0.0,-2.0,-3.0,-7.5,-6.5,9.5,-2.0,-3.0,-1.0
1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-1.0,-3.0,0.0,9.5,3.0,-5.0,-3.0,0.0
-6.0,2.0,13.0,-7.0,0.5,-5.0,-7.0,-7.0,5.5,-5.0,-2.0,-3.0,-4.0,0.0,-6.0,-2.0,-5.0,17.0,0.0,-6.0
-3.0,-4.0,-2.0,-4.0,0.0,-4.0,-4.0,3.5,0.0,-1.0,-1.0,-4.0,-2.0,-1.5,-5.0,-3.0,-3.0,0.0,10.0,-2.0
0.0,-2.0,-2.0,-2.0,6.5,-2.0,-2.0,-1.0,-2.0,4.0,2.0,-2.0,2.0,-1.0,-1.0,-1.0,0.0,-6.0,-2.0,12.5
